frequency,name,type
1,Bull Montana,nickname
1,Shucks,nickname
1,Okkie,nickname
1,Merv,nickname
1,Vince,nickname
1,Moe,nickname
1,The Rabbi of Swat,nickname
1,Clay,nickname
1,Spike,nickname
1,"Ed, Eddie",nickname
1,Satchelfoot,nickname
